,shop_id,address,城市,company_registered_address,abbreviation,name,总计,通过数,拒绝数,接受数,接受金额,longitude,latitude
631,19211745,上海新会路131号,上海,上海市普陀区新会路131-139号1楼102室、2楼201、202、213、214室,纽赛,上海纽赛医疗美容门诊部有限公司,161,61,100,60,1562200.00元,31.24169,121.44263
632,19211746,南京市南京市鼓楼区广州路228号801/802/803/804室,南京市,南京市鼓楼区广州路228号801/802/803/804室,南京薇琳,南京薇琳医疗美容诊所有限公司,43,16,27,16,272848.00元,32.05188,118.77224
633,19211748,南京市南京市秦淮区中山东路532-1号,南京市,南京市秦淮区中山东路532-1号,熙而美,南京熙而美医疗美容有限公司,252,134,118,132,2787464.00元,32.03861,118.82209
634,19211749,成都市武侯区丽都路518号1栋2层201号,成都市,武侯区丽都路518号1栋2层201号,雍和华仁,成都武侯雍和华仁医疗美容诊所,190,103,87,103,2084740.00元,30.62394,104.03189
635,19211751,成都市中国（四川）自由贸易试验区成都高新区交子大道88号3栋2层1号,成都市,中国（四川）自由贸易试验区成都高新区交子大道88号3栋2层1号,成都东美,成都东美医学美容整形门诊部有限公司,8,3,5,3,45400.00元,30.58367,104.06157
636,19211752,杭州市浙江省杭州市萧山区钱江世纪公园B区11幢,杭州市,浙江省杭州市萧山区钱江世纪公园B区11幢,亚美宏韩,杭州萧山亚美宏韩医疗美容门诊部有限公司,178,46,132,44,1111460.00元,30.242613,120.233238
637,19211753,台州市浙江省台州市温岭市城东街道万昌中路1257号（三楼）,台州市,浙江省台州市温岭市城东街道万昌中路1257号（三楼）,台州美诺,温岭美诺整形外科门诊部有限公司,35,21,14,20,338301.00元,28.40307,121.38055
638,19211754,杭州市桐庐县城迎春南路279号立山国际中心1603/1604/1605室,杭州市,桐庐县城迎春南路279号立山国际中心1603/1604/1605室,桐庐华美,桐庐华美美瑞医疗美容门诊部有限公司,85,34,51,33,585339.00元,29.79144,119.6922
639,19211755,广州市广州市天河区天河北路569号二层,广州市,广州市天河区天河北路569号二层01房自编001号,广州雅度,广州雅度医疗美容门诊部有限公司,146,79,67,79,1336339.00元,23.14174,113.33654
640,19211756,重庆重庆市万州区高笋塘2号2楼,重庆,重庆市万州区高笋塘2号2楼,万州华美,万州华美整形医院,403,305,98,299,3997657.00元,30.812321,108.376152
641,19211757,宜昌市宜昌市沿江大道169号福江铭座3楼,宜昌市,湖北省宜昌市沿江大道特162号3楼,宜楚美人,宜昌市伍家岗区楚美人医疗美容诊所,33,14,19,14,256700.00元,30.67527,111.31633
642,19211758,杭州市杭州市江干区迪凯银座1702室,杭州市,杭州市江干区迪凯银座1702室,杭州颜控,杭州颜控医疗美容诊所有限公司,20,5,15,5,117800.00元,30.241831,120.211708
643,19211759,蚌埠市安徽省蚌埠市延安路456号,蚌埠市,安徽省蚌埠市延安路456号,蚌美莱坞,蚌埠经济开发区东方美莱坞医疗美容门诊部,51,7,44,7,149200.00元,32.93895,117.37232
644,19211760,济南市山东省济南市历下区奥体西路保利华庭公建3号楼,济南市,山东省济南市历下区奥体西路保利华庭公建3号楼,济维纳斯,济南维纳斯美容医院有限公司,35,11,24,11,192252.00元,36.69043,117.10553
